qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ cpubench & ; iobench & ;
$ 5: 9434 KFLOP1000T
					7: 328 IOP1000T
5: 9452 KFLOP1000T
					7: 333 IOP1000T
5: 9452 KFLOP1000T
					7: 333 IOP1000T
5: 9474 KFLOP1000T
					7: 333 IOP1000T
5: 9443 KFLOP1000T
					7: 333 IOP1000T
5: 9452 KFLOP1000T
					7: 333 IOP1000T
5: 9462 KFLOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9434 KFLOP1000T
					7: 333 IOP1000T
5: 9405 KFLOP1000T
					7: 333 IOP1000T
5: 9424 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9405 KFLOP1000T
5: 9424 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9443 KFLOP1000T
					7: 333 IOP1000T
5: 9424 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9434 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9424 KFLOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9443 KFLOP1000T
					7: 333 IOP1000T
5: 9424 KFLOP1000T
					7: 333 IOP1000T
5: 9396 KFLOP1000T
					7: 333 IOP1000T
5: 9443 KFLOP1000T
					7: 333 IOP1000T
5: 9424 KFLOP1000T
					7: 333 IOP1000T
5: 9443 KFLOP1000T
					7: 333 IOP1000T
5: 9405 KFLOP1000T
5: 9405 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9405 KFLOP1000T
					7: 333 IOP1000T
5: 9415 KFLOP1000T
					7: 333 IOP1000T
5: 9434 KFLOP1000T
5: 9434 KFLOP1000T
					7: 333 IOP1000T
5: 9434 KFLOP1000T
					7: 333 IOP1000T
