qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ cpubench & ; cpubench & ;
$ 5: 19 KFLOP100000T
7: 3 KFLOP100000T
5: 18 KFLOP100000T
7: 5 KFLOP100000T
5: 18 KFLOP100000T
7: 3 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
5: 17 KFLOP100000T
7: 9 KFLOP100000T
5: 17 KFLOP100000T
7: 9 KFLOP100000T
5: 17 KFLOP100000T
7: 10 KFLOP100000T
5: 16 KFLOP100000T
7: 8 KFLOP100000T
5: 17 KFLOP100000T
7: 7 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
5: 18 KFLOP100000T
5: 17 KFLOP100000T
7: 10 KFLOP100000T
5: 17 KFLOP100000T
5: 21 KFLOP100000T
5: 20 KFLOP100000T
7: 0 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
5: 18 KFLOP100000T
7: 5 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
5: 18 KFLOP100000T
7: 5 KFLOP100000T
5: 18 KFLOP100000T
7: 8 KFLOP100000T
5: 17 KFLOP100000T
7: 7 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
5: 18 KFLOP100000T
7: 7 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
5: 18 KFLOP100000T
7: 7 KFLOP100000T
5: 18 KFLOP100000T
5: 18 KFLOP100000T
7: 6 KFLOP100000T
