qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ cpubench & ; iobench & ;
$ 					7: 3042 IOP10000T
5: 486 KFLOP10000T
					7: 3055 IOP10000T
5: 485 KFLOP10000T
					7: 3063 IOP10000T
5: 488 KFLOP10000T
					7: 3064 IOP10000T
5: 493 KFLOP10000T
					7: 3064 IOP10000T
5: 486 KFLOP10000T
					7: 3061 IOP10000T
5: 488 KFLOP10000T
					7: 3059 IOP10000T
5: 487 KFLOP10000T
					7: 3074 IOP10000T
5: 477 KFLOP10000T
					7: 3058 IOP10000T
5: 491 KFLOP10000T
					7: 3052 IOP10000T
5: 491 KFLOP10000T
					7: 3054 IOP10000T
5: 490 KFLOP10000T
					7: 3047 IOP10000T
5: 483 KFLOP10000T
					7: 3050 IOP10000T
5: 489 KFLOP10000T
					7: 3049 IOP10000T
5: 494 KFLOP10000T
					7: 3051 IOP10000T
5: 485 KFLOP10000T
					7: 3055 IOP10000T
5: 483 KFLOP10000T
					7: 3056 IOP10000T
5: 488 KFLOP10000T
					7: 3060 IOP10000T
5: 489 KFLOP10000T
					7: 3061 IOP10000T
5: 493 KFLOP10000T
					7: 3074 IOP10000T
5: 484 KFLOP10000T
					7: 3063 IOP10000T
5: 489 KFLOP10000T
					7: 3057 IOP10000T
5: 485 KFLOP10000T
					7: 3054 IOP10000T
5: 489 KFLOP10000T
					7: 3059 IOP10000T
5: 488 KFLOP10000T
					7: 3055 IOP10000T
5: 465 KFLOP10000T
					7: 3053 IOP10000T
5: 487 KFLOP10000T
					7: 3057 IOP10000T
5: 486 KFLOP10000T
					7: 3057 IOP10000T
5: 493 KFLOP10000T
					7: 3076 IOP10000T
5: 499 KFLOP10000T
					7: 3079 IOP10000T
5: 499 KFLOP10000T
					7: 3081 IOP10000T
5: 497 KFLOP10000T
					7: 3078 IOP10000T
5: 499 KFLOP10000T
					7: 3077 IOP10000T
5: 499 KFLOP10000T
					7: 3075 IOP10000T
5: 498 KFLOP10000T
					7: 3079 IOP10000T
5: 500 KFLOP10000T
					7: 3075 IOP10000T
5: 498 KFLOP10000T
					7: 3070 IOP10000T
5: 497 KFLOP10000T
					7: 3073 IOP10000T
5: 499 KFLOP10000T
					7: 3077 IOP10000T
5: 497 KFLOP10000T
					7: 3073 IOP10000T
