qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ cpubench & ;
$ 5: 883 KFLOP10000T
5: 877 KFLOP10000T
5: 875 KFLOP10000T
5: 874 KFLOP10000T
5: 874 KFLOP10000T
5: 882 KFLOP10000T
5: 883 KFLOP10000T
5: 884 KFLOP10000T
5: 883 KFLOP10000T
5: 884 KFLOP10000T
5: 884 KFLOP10000T
5: 884 KFLOP10000T
5: 884 KFLOP10000T
5: 883 KFLOP10000T
5: 885 KFLOP10000T
5: 884 KFLOP10000T
5: 883 KFLOP10000T
5: 884 KFLOP10000T
5: 883 KFLOP10000T
5: 885 KFLOP10000T
5: 883 KFLOP10000T
5: 883 KFLOP10000T
5: 884 KFLOP10000T
5: 883 KFLOP10000T
5: 883 KFLOP10000T
5: 883 KFLOP10000T
5: 884 KFLOP10000T
5: 883 KFLOP10000T
5: 883 KFLOP10000T
5: 882 KFLOP10000T
5: 883 KFLOP10000T
5: 884 KFLOP10000T
5: 883 KFLOP10000T
5: 883 KFLOP10000T
5: 883 KFLOP10000T
